OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_PUMA5_10|GEOID_PUMA5_10|NAMELSAD_PUMA5_10|AREALAND_PUMA5_10|AREAWATER_PUMA5_10|MTFCC_PUMA5_10|FUNCSTAT_PUMA5_10|AREALAND_PART|AREAWATER_PART
2177029550580441|4502702|Horry (Central and South) County--Myrtle Beach City PUMA|511969963|13167334|G6120|S|217404486493657|4501000|Georgetown, Marion & Dillon Counties PUMA|4423876096|589400910|G6120|S|224096|7580
2177029550580441|4502702|Horry (Central and South) County--Myrtle Beach City PUMA|511969963|13167334|G6120|S|217404486494163|4501101|Horry County (West & North)--Conway City & Red Hill PUMA|2426888290|19273272|G6120|S|356583505|11241919
2177029550580441|4502702|Horry (Central and South) County--Myrtle Beach City PUMA|511969963|13167334|G6120|S|217404486495128|4501102|Horry County (Southeast)--Myrtle Beach, North Myrtle Beach Cities & Socastee (East) PUMA|508290806|295721368|G6120|S|155162362|1917835
217704485272743|4600100|West South Dakota--Rapid City PUMA|42467345908|167071850|G6120|S|217404486214910|3000600|East Montana (Outside Billings City) PUMA|151721989893|1506153947|G6120|S|89|0
217704485272743|4600100|West South Dakota--Rapid City PUMA|42467345908|167071850|G6120|S|217404485272743|4600100|West South Dakota--Rapid City PUMA|42467537310|167071788|G6120|S|42467340951|167071788
217704485272743|4600100|West South Dakota--Rapid City PUMA|42467345908|167071850|G6120|S|217404485275351|4600200|Lakota Region PUMA|75066352510|1655638316|G6120|S|4868|62
217704485275351|4600200|Lakota Region PUMA|75066578202|1655638254|G6120|S|217404485797598|3100100|North Central & Northwest Nebraska PUMA|67591685103|369684293|G6120|S|31971|0
217704485275351|4600200|Lakota Region PUMA|75066578202|1655638254|G6120|S|217404485272743|4600100|West South Dakota--Rapid City PUMA|42467537310|167071788|G6120|S|160025|0
217704485275351|4600200|Lakota Region PUMA|75066578202|1655638254|G6120|S|217404485275351|4600200|Lakota Region PUMA|75066352510|1655638316|G6120|S|75066346382|1655638254
217704485275351|4600200|Lakota Region PUMA|75066578202|1655638254|G6120|S|217404485276544|4600400|Jackrabbit Region PUMA|29194023914|347244041|G6120|S|39824|0
217704485276525|4600300|Northeast South Dakota PUMA|39337446268|1126674241|G6120|S|217404485276525|4600300|Northeast South Dakota PUMA|39337446268|1126674241|G6120|S|39337446268|1126674241
217704485276544|4600400|Jackrabbit Region PUMA|29193982486|347244041|G6120|S|217404485275351|4600200|Lakota Region PUMA|75066352510|1655638316|G6120|S|1260|0
217704485276544|4600400|Jackrabbit Region PUMA|29193982486|347244041|G6120|S|217404485276544|4600400|Jackrabbit Region PUMA|29194023914|347244041|G6120|S|29193976320|347244041
217704485276544|4600400|Jackrabbit Region PUMA|29193982486|347244041|G6120|S|217404485276545|4600500|Southeast South Dakota (Outside Sioux Falls City) PUMA|10061353643|85503169|G6120|S|4906|0
2177029922992013|4600501|Southeast South Dakota (Outside Sioux Falls City) PUMA|10061370530|85610797|G6120|S|217404485276544|4600400|Jackrabbit Region PUMA|29194023914|347244041|G6120|S|6375|0
2177029922992013|4600501|Southeast South Dakota (Outside Sioux Falls City) PUMA|10061370530|85610797|G6120|S|217404485276545|4600500|Southeast South Dakota (Outside Sioux Falls City) PUMA|10061353643|85503169|G6120|S|10061348737|85503169
2177029922992013|4600501|Southeast South Dakota (Outside Sioux Falls City) PUMA|10061370530|85610797|G6120|S|217404485276546|4600600|Sioux Falls City PUMA|219284310|1532648|G6120|S|15418|107628
