OID_PUMA5_20|GEOID_PUMA5_20|NAMELSAD_PUMA5_20|AREALAND_PUMA5_20|AREAWATER_PUMA5_20|MTFCC_PUMA5_20|FUNCSTAT_PUMA5_20|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070270561264|11620|Burley, ID Urban Area|24724005|1800922|G3500|S|9924230|767026
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070132633700|36217|Hailey, ID Urban Area|13646439|13358|G3500|S|13646439|13358
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070349886343|43048|Jerome, ID Urban Area|14147762|2037|G3500|S|14147762|2037
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070132633702|44695|Ketchum, ID Urban Area|20685351|118747|G3500|S|20685351|118747
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070263562806|59707|Mountain Home, ID Urban Area|16983899|12773|G3500|S|16983899|12773
217704486183014|1601000|Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties PUMA|26087073759|175431017|G6120|S|27070270561265|76744|Rupert, ID Urban Area|7150532|26291|G3500|S|7150532|26291
217704486182450|1601100|Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA|14552533838|194022784|G6120|S||||||||14483428850|193311029
217704486182450|1601100|Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA|14552533838|194022784|G6120|S|27070680898010|07948|Blackfoot, ID Urban Area|19458927|459187|G3500|S|19458927|459187
217704486182450|1601100|Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA|14552533838|194022784|G6120|S|27070351341050|74260|Rexburg, ID Urban Area|24295731|194766|G3500|S|24295731|194766
217704486182450|1601100|Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA|14552533838|194022784|G6120|S|27070267466830|74962|Rigby, ID Urban Area|19727352|57802|G3500|S|19727352|57802
217704486182450|1601100|Bingham (Outside Fort Hall AIR), Madison, Jefferson, Fremont & Teton Counties PUMA|14552533838|194022784|G6120|S|27070680898011|81388|Shelley, ID Urban Area|5622978|0|G3500|S|5622978|0
217704486182457|1601200|Bonneville County--Idaho Falls City PUMA|4832872003|88855960|G6120|S||||||||4726013374|88129222
217704486182457|1601200|Bonneville County--Idaho Falls City PUMA|4832872003|88855960|G6120|S|27070345867364|40996|Idaho Falls, ID Urban Area|106858629|726738|G3500|S|106858629|726738
217704486182462|1601300|Southeast Idaho--Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA|19345073139|490594259|G6120|S||||||||19273942491|490333502
217704486182462|1601300|Southeast Idaho--Pocatello, Chubbuck Cities & Fort Hall Reservation PUMA|19345073139|490594259|G6120|S|27070386721600|70426|Pocatello, ID Urban Area|71130648|260757|G3500|S|71130648|260757
