OID_UA_10|GEOID_UA_10|NAMELSAD_UA_10|AREALAND_UA_10|AREAWATER_UA_10|MTFCC_UA_10|FUNCSTAT_UA_10|OID_UA_20|GEOID_UA_20|NAMELSAD_UA_20|AREALAND_UA_20|AREAWATER_UA_20|MTFCC_UA_20|FUNCSTAT_UA_20|AREALAND_PART|AREAWATER_PART
|||||||2707032391317925|02420|Anderson--Clemson, SC Urban Area|248484739|7321967|G3500|S|38757610|4053563
|||||||27070210672660|02467|Andrews, TX Urban Area|24644900|30529|G3500|S|8637167|0
|||||||2707032391317848|02500|Angleton, TX Urban Area|28355057|48854|G3500|S|6275663|5557
|||||||27070348291154|02548|Angola, IN Urban Area|32187898|5901426|G3500|S|10958108|1987623
|||||||27070367159964|02575|Anna, IL Urban Area|11470852|57886|G3500|S|2088995|18665
|||||||2707056214391|02602|Ann Arbor, MI Urban Area|371546429|13342445|G3500|S|19460115|130802
|||||||27070103026869|02629|Anniston--Oxford, AL Urban Area|204340445|1108735|G3500|S|34289300|139598
|||||||27070299255358|02656|Antigo, WI Urban Area|12555575|120062|G3500|S|1886927|35726
|||||||27070146195862|02683|Antioch, CA Urban Area|189968288|2037833|G3500|S|10925069|444070
|||||||27070134717902|02764|Appleton, WI Urban Area|279136276|10660971|G3500|S|23835786|73160
|||||||2707073801677|02791|Arab, AL Urban Area|22520970|279456|G3500|S|5619514|30349
|||||||2707032391317845|02818|Aransas Pass--Port Aransas--Ingleside, TX Urban Area|63826698|572244|G3500|S|38429401|306298
|||||||270704485566503|02912|Arcadia, FL Urban Area|25909522|15770|G3500|S|2830193|0
|||||||2707032391318058|02930|Arcata, CA Urban Area|20532275|118564|G3500|S|3608325|42386
|||||||27070742650722|03007|Ardmore, OK Urban Area|38898730|360022|G3500|S|8918420|284684
|||||||2707082943451|03034|Arecibo, PR Urban Area|195525702|248325|G3500|S|8455443|17819
|||||||270701260232060|03088|Arizona City, AZ Urban Area|11238099|198208|G3500|S|454758|0
|||||||27070291247244|03115|Arkadelphia, AR Urban Area|16058897|1130|G3500|S|1606205|1130
|||||||27070720145719|03142|Arkansas City, KS Urban Area|17694779|0|G3500|S|327702|0
|||||||270704485566100|03158|Arlington, TN Urban Area|19877761|87911|G3500|S|3656797|0
